dropdown,"palo alto networks is a government contractor subject to the vietnam era veterans' readjustment assistance act of 1974, as amended by the jobs for veterans act of 2002, 38 u.s.c. 4212 (""vevraa""), which requires government contractors to take affirmative action to employ and advance in employment: (1) disabled veterans/ (2) recently separated veterans/ (3) active duty wartime or campaign badge veterans/ and (4) armed forces service medal veterans. if you believe you are a member of any of the categories of protected veterans listed above, please indicate by checking the appropriate box below. your decision to provide the relevant information is purely voluntary on your part, and refusal to provide such information will not subject you to any adverse treatment. the information will not be used in a manner inconsistent with vevraa, as amended. please select one of the options below [definitions](https://www.smartrecruiters.com/oneclick-ui/resources/html/ofccpveterans)
palo alto networks is a government contractor subject to the vietnam era veterans' readjustment assistance act of 1974, as amended by the jobs for veterans act of 2002, 38 u.s.c. 4212 (""vevraa""), which requires government contractors to take affirmative action to employ and advance in employment: (1) disabled veterans/ (2) recently separated veterans/ (3) active duty wartime or campaign badge veterans/ and (4) armed forces service medal veterans. if you believe you are a member of any of the categories of protected veterans listed above, please indicate by checking the appropriate box below. your decision to provide the relevant information is purely voluntary on your part, and refusal to provide such information will not subject you to any adverse treatment. the information will not be used in a manner inconsistent with vevraa, as amended. please select one of the options below [definitions](https://www.smartrecruiters.com/oneclick-ui/resources/html/ofccpveterans)"
dropdown,"do you consider yourself as a military spouse / domestic partner?
do you consider yourself as a military spouse / domestic partner?"
dropdown,"are you in the reserves?
are you in the reserves?"
radio,"i understand that the information i submit as part of my job application will be used in accordance with [palo alto network's candidate privacy notice](https://www.paloaltonetworks.com/legal-notices/privacy/privacy-notice.html). i understand the processing of my information as described in that policy including that, in limited circumstances, palo alto networks may share my contact information with trusted third parties, to assist in certain phases of the hiring process (such as conducting background checks)."
numeric,how many years of work experience do you have with windows?
numeric,how many years of work experience do you have with cisco systems products?
numeric,how many years of work experience do you have with cisco application centric infrastructure (aci)?
numeric,how many years of eng experience do you currently have?
dropdown,"are you comfortable with a career that has commission as part of the compensation?
are you comfortable with a career that has commission as part of the compensation?"
dropdown,"will you be interested in consulting-based job?
will you be interested in consulting-based job?"
dropdown,"are you a usc, gc or tn-visa?
are you a usc, gc or tn-visa?"
dropdown,"are you willing to relocate across the us for projects?
are you willing to relocate across the us for projects?"
radio,are you open to working on w2?
numeric,how many years of veterinary services experience do you currently have?
numeric,how many years of work experience do you have with industrial robots?
dropdown,"be able to lift 40+ pounds, be on your feet, quick thinker, and a passion for fixing robots
be able to lift 40+ pounds, be on your feet, quick thinker, and a passion for fixing robots"
numeric,how many years of work experience do you have with program coordination?
numeric,how many years of work experience do you have with jira?
numeric,how many years of work experience do you have with product operations?
numeric,how many years of work experience do you have with consultative selling?
numeric,how many years of work experience do you have with data centers?
dropdown,"do you have prior experience providing desktop support in the financial services space? 
do you have prior experience providing desktop support in the financial services space?"
dropdown,"do you have prior experience with trade floor support or with market data products?
do you have prior experience with trade floor support or with market data products?"
dropdown,"do you have prior experience with windows or msft office migration projects?
do you have prior experience with windows or msft office migration projects?"
numeric,how many years of work experience do you have with adobe creative suite?
numeric,how many years of work experience do you have with adobe indesign?
dropdown,"are you a us citizen or green card holder?
are you a us citizen or green card holder?"
dropdown,"have you built at least two production-grade etl pipelines from scratch?
have you built at least two production-grade etl pipelines from scratch?"
dropdown,"do you have at least three years of experience working as a full-time data engineer?
do you have at least three years of experience working as a full-time data engineer?"
dropdown,"have you designed a data warehouse or lakehouse architecture from scratch?
have you designed a data warehouse or lakehouse architecture from scratch?"
dropdown,"have you been the primary decision-maker for selecting data infrastructure tools and technologies?
have you been the primary decision-maker for selecting data infrastructure tools and technologies?"
dropdown,"have you implemented data governance best practices, including access control, security, and lineage tracking?
have you implemented data governance best practices, including access control, security, and lineage tracking?"
dropdown,"have you set up and managed workflow automation tools like airflow, dagster, or prefect in production?
have you set up and managed workflow automation tools like airflow, dagster, or prefect in production?"
dropdown,"do you have strong experience with scaling out both cloud-hosted and on-prem industry applications?
do you have strong experience with scaling out both cloud-hosted and on-prem industry applications?"
dropdown,"have you completed the following level of education: bachelor's degree?
have you completed the following level of education: bachelor's degree?"
dropdown,"do you have at least 2 years of experience with software development and web technologies?
do you have at least 2 years of experience with software development and web technologies?"
dropdown,"do you have 2 years proven experience as a jr. full stack developer or similar role?
do you have 2 years proven experience as a jr. full stack developer or similar role?"
dropdown,"are you willing to stay up to date with the latest industry trends and technologies?
are you willing to stay up to date with the latest industry trends and technologies?"
dropdown,"do you have 2 years rest / http / web architecture understanding?
do you have 2 years rest / http / web architecture understanding?"
dropdown,"do you have knowledge of software security best practices?
do you have knowledge of software security best practices?"
dropdown,"do you have a minimum of 2+ years experience with queueing systems (rabbitmq / kafka / etc.)?
do you have a minimum of 2+ years experience with queueing systems (rabbitmq / kafka / etc.)?"
